episode_id,step,scenario,country,time_zone,local_hour,daypart,attempts,local_time_sin,local_time_cos,baseline_approval_rate,approval_drop,approval_slope,p95_latency_ms,latency_slope,provider_error_rate,provider_timeout_rate,provider_failure_slope,rejected_rate,issuer_decline_rate,auth_3ds_failure_rate,fraud_screening_failure_rate,data_quality_failure_rate,provider_config_failure_rate,hard_decline_share,retry_attempt_rate,already_degraded,will_degrade_within_15m
0,0,PRE_PROVIDER_REJECTION_SURGE,MX,America/Mexico_City,22,EVENING,131,-0.422618,0.906308,0.919804,0.002911,0.0,555.129,0.0,0.007634,0.007634,0.0,0.015267,0.061069,0.0,0.0,0.015267,0.0,0.307692,0.083908,0,0
0,1,PRE_PROVIDER_REJECTION_SURGE,MX,America/Mexico_City,22,EVENING,125,-0.402747,0.915311,0.919804,0.056044,0.0,626.832,0.0,0.024,0.008,0.0,0.024,0.056,0.016,0.0,0.016,0.0,0.294118,0.064607,0,0
0,2,PRE_PROVIDER_REJECTION_SURGE,MX,America/Mexico_City,22,EVENING,117,-0.382683,0.92388,0.919804,0.0,0.002564,593.452,19.1619,0.0,0.0,-0.007634,0.0,0.042735,0.0,0.017094,0.025641,0.0,0.3,0.103922,0,0
0,3,PRE_PROVIDER_REJECTION_SURGE,MX,America/Mexico_City,22,EVENING,91,-0.362438,0.932008,0.919804,0.0,0.057735,552.661,-37.0855,0.010989,0.010989,-0.005011,0.0,0.032967,0.0,0.0,0.0,0.0,0.0,0.072227,0,0
0,4,PRE_PROVIDER_REJECTION_SURGE,MX,America/Mexico_City,22,EVENING,107,-0.34202,0.939693,0.919804,0.0,0.012976,672.965,39.7562,0.0,0.0,0.0,0.009346,0.037383,0.009346,0.0,0.018692,0.0,0.375,0.096352,0,0
0,5,PRE_PROVIDER_REJECTION_SURGE,MX,America/Mexico_City,22,EVENING,102,-0.321439,0.94693,0.919804,0.006537,-0.032982,577.616,12.4775,0.019608,0.009804,0.003717,0.0,0.039216,0.0,0.009804,0.009804,0.0,0.125,0.073047,0,0
0,6,PRE_PROVIDER_REJECTION_SURGE,MX,America/Mexico_City,22,EVENING,79,-0.300706,0.953717,0.919804,0.106363,-0.067266,518.877,-77.0441,0.025316,0.012658,0.018987,0.012658,0.101266,0.0,0.012658,0.025316,0.0,0.214286,0.077871,0,0
0,7,PRE_PROVIDER_REJECTION_SURGE,MX,America/Mexico_City,22,EVENING,89,-0.279829,0.96005,0.919804,0.0,0.019523,599.704,11.044,0.0,0.0,-0.014706,0.022472,0.033708,0.0,0.011236,0.011236,0.0,0.428571,0.069464,0,0
0,8,PRE_PROVIDER_REJECTION_SURGE,MX,America/Mexico_City,23,EVENING,58,-0.258819,0.965926,0.919804,0.0,0.061708,698.584,89.8536,0.017241,0.0,-0.010367,0.0,0.017241,0.0,0.017241,0.034483,0.0,0.4,0.071712,0,0
0,9,PRE_PROVIDER_REJECTION_SURGE,MX,America/Mexico_City,23,EVENING,175,-0.237686,0.971342,0.919804,0.0,-0.013118,608.191,4.2437,0.005714,0.0,0.002857,0.0,0.051429,0.0,0.005714,0.017143,0.0,0.214286,0.09254,0,0
0,10,PRE_PROVIDER_REJECTION_SURGE,MX,America/Mexico_City,23,EVENING,72,-0.21644,0.976296,0.919804,0.0,0.028358,596.143,-51.2204,0.0,0.0,-0.008621,0.0,0.027778,0.0,0.0,0.0,0.0,0.0,0.096925,0,0
0,11,PRE_PROVIDER_REJECTION_SURGE,MX,America/Mexico_City,23,EVENING,105,-0.19509,0.980785,0.919804,0.0,0.029624,623.003,7.4062,0.0,0.0,-0.002857,0.0,0.028571,0.0,0.0,0.009524,0.0,0.25,0.086097,0,1
